City,Day,Year,AvgTemp,Day_of_Year
Stockholm,3,1995,16.9,154
Stockholm,4,1995,16.2,155
Stockholm,5,1995,17.0,156
Stockholm,6,1995,18.7,157
Stockholm,7,1995,16.2,158
Stockholm,8,1995,16.0,159
Stockholm,9,1995,16.3,160
Stockholm,10,1995,13.3,161
Stockholm,11,1995,14.4,162
Stockholm,12,1995,11.3,163
Stockholm,13,1995,12.8,164
Stockholm,14,1995,18.4,165
Stockholm,15,1995,16.7,166
Stockholm,16,1995,17.9,167
Stockholm,17,1995,15.4,168
Stockholm,18,1995,13.4,169
Stockholm,19,1995,13.1,170
Stockholm,20,1995,17.8,171
Stockholm,21,1995,17.3,172
Stockholm,22,1995,12.1,173
Stockholm,23,1995,15.4,174
Stockholm,24,1995,20.1,175
Stockholm,25,1995,20.6,176
Stockholm,26,1995,20.9,177
Stockholm,27,1995,17.4,178
Stockholm,28,1995,18.4,179
Stockholm,29,1995,16.0,180
Stockholm,30,1995,13.3,181
Stockholm,1,1995,13.2,182
Stockholm,2,1995,15.3,183
Stockholm,3,1995,16.4,184
Stockholm,4,1995,13.6,185
Stockholm,5,1995,15.8,186
Stockholm,6,1995,15.2,187
Stockholm,7,1995,19.8,188
Stockholm,8,1995,19.3,189
Stockholm,9,1995,15.9,190
Stockholm,10,1995,15.4,191
Stockholm,11,1995,18.4,192
Stockholm,12,1995,21.3,193
Stockholm,13,1995,21.5,194
Stockholm,14,1995,20.4,195
Stockholm,15,1995,17.8,196
Stockholm,16,1995,17.9,197
Stockholm,17,1995,15.7,198
Stockholm,18,1995,18.4,199
Stockholm,19,1995,17.8,200
Stockholm,20,1995,17.2,201
Stockholm,21,1995,20.4,202
Stockholm,22,1995,17.9,203
Stockholm,23,1995,17.4,204
Stockholm,24,1995,16.4,205
Stockholm,25,1995,16.4,206
Stockholm,26,1995,17.9,207
Stockholm,27,1995,20.5,208
Stockholm,28,1995,20.4,209
Stockholm,29,1995,23.6,210
Stockholm,30,1995,22.8,211
Stockholm,31,1995,21.7,212
Stockholm,1,1995,22.5,213
Stockholm,2,1995,21.6,214
Stockholm,3,1995,20.7,215
Stockholm,4,1995,16.9,216
Stockholm,5,1995,19.5,217
Stockholm,6,1995,23.6,218
Stockholm,7,1995,15.4,219
Stockholm,8,1995,14.6,220
Stockholm,9,1995,18.0,221
Stockholm,10,1995,18.7,222
Stockholm,11,1995,18.5,223
Stockholm,12,1995,20.1,224
Stockholm,13,1995,22.8,225
Stockholm,14,1995,19.2,226
Stockholm,15,1995,18.5,227
Stockholm,16,1995,19.6,228
Stockholm,17,1995,23.3,229
Stockholm,18,1995,24.6,230
Stockholm,19,1995,21.6,231
Stockholm,20,1995,17.7,232
Stockholm,21,1995,19.0,233
Stockholm,22,1995,22.2,234
Stockholm,23,1995,22.8,235
Stockholm,24,1995,19.3,236
Stockholm,25,1995,18.2,237
Stockholm,26,1995,14.7,238
Stockholm,27,1995,14.6,239
Stockholm,28,1995,10.8,240
Stockholm,29,1995,10.7,241
Stockholm,30,1995,11.1,242
Stockholm,31,1995,14.1,243
Stockholm,1,1995,13.3,244
Stockholm,2,1995,15.1,245
Stockholm,3,1995,15.7,246
Stockholm,4,1995,14.4,247
Stockholm,5,1995,14.4,248
Stockholm,6,1995,17.9,249
Stockholm,7,1995,15.0,250
Stockholm,8,1995,15.2,251
Stockholm,9,1995,13.2,252
Stockholm,10,1995,11.3,253
Stockholm,11,1995,11.7,254
Stockholm,12,1995,12.8,255
Stockholm,13,1995,13.2,256
Stockholm,14,1995,13.7,257
Stockholm,15,1995,12.6,258
Stockholm,16,1995,11.9,259
Stockholm,17,1995,10.6,260
Stockholm,18,1995,9.2,261
Stockholm,19,1995,9.8,262
Stockholm,20,1995,10.9,263
Stockholm,21,1995,10.4,264
Stockholm,22,1995,12.2,265
Stockholm,23,1995,13.5,266
Stockholm,24,1995,13.2,267
Stockholm,25,1995,13.3,268
Stockholm,26,1995,13.8,269
Stockholm,27,1995,10.6,270
Stockholm,28,1995,8.7,271
Stockholm,29,1995,7.9,272
Stockholm,30,1995,6.8,273
Stockholm,1,1995,5.6,274
Stockholm,2,1995,7.1,275
Stockholm,3,1995,11.6,276
Stockholm,4,1995,12.7,277
Stockholm,5,1995,14.2,278
Stockholm,6,1995,12.9,279
Stockholm,7,1995,12.6,280
Stockholm,8,1995,12.9,281
Stockholm,9,1995,16.1,282
Stockholm,10,1995,14.6,283
Stockholm,11,1995,11.7,284
Stockholm,12,1995,10.6,285
Stockholm,13,1995,11.8,286
Stockholm,14,1995,5.3,287
Stockholm,15,1995,8.0,288
Stockholm,16,1995,11.9,289
Stockholm,17,1995,13.3,290
Stockholm,18,1995,10.6,291
Stockholm,19,1995,12.1,292
Stockholm,20,1995,8.6,293
Stockholm,21,1995,4.5,294
Stockholm,22,1995,4.0,295
Stockholm,23,1995,8.2,296
Stockholm,24,1995,8.9,297
Stockholm,25,1995,9.2,298
Stockholm,26,1995,9.8,299
Stockholm,27,1995,11.7,300
Stockholm,28,1995,8.5,301
Stockholm,29,1995,3.4,302
Stockholm,30,1995,1.8,303
Stockholm,31,1995,2.4,304
Stockholm,1,1995,-0.1,305
Stockholm,2,1995,-0.7,306
Stockholm,3,1995,-0.6,307
Stockholm,4,1995,-2.2,308
Stockholm,5,1995,-3.7,309
Stockholm,6,1995,2.8,310
Stockholm,7,1995,-2.3,311
Stockholm,8,1995,-2.0,312
Stockholm,9,1995,3.2,313
Stockholm,10,1995,2.5,314
Stockholm,11,1995,0.8,315
Stockholm,12,1995,-2.3,316
Stockholm,13,1995,0.9,317
Stockholm,14,1995,0.6,318
Stockholm,15,1995,3.1,319
Stockholm,16,1995,-0.3,320
Stockholm,17,1995,-2.2,321
Stockholm,18,1995,-3.7,322
Stockholm,19,1995,-2.8,323
Stockholm,20,1995,-6.6,324
Stockholm,21,1995,0.7,325
Stockholm,22,1995,0.8,326
Stockholm,23,1995,3.2,327
Stockholm,24,1995,7.7,328
Stockholm,25,1995,6.9,329
Stockholm,26,1995,4.1,330
Stockholm,27,1995,0.4,331
Stockholm,28,1995,-4.0,332
Stockholm,29,1995,-0.9,333
Stockholm,30,1995,-2.9,334
Stockholm,1,1995,-2.1,335
Stockholm,2,1995,-2.8,336
Stockholm,3,1995,-0.4,337
Stockholm,4,1995,-3.6,338
Stockholm,5,1995,-6.8,339
Stockholm,6,1995,-2.9,340
Stockholm,7,1995,-2.1,341
Stockholm,8,1995,1.6,342
Stockholm,9,1995,-0.9,343
Stockholm,10,1995,0.0,344
Stockholm,11,1995,-0.1,345
Stockholm,12,1995,-0.5,346
Stockholm,13,1995,-1.1,347
Stockholm,14,1995,-2.2,348
Stockholm,15,1995,-1.7,349
Stockholm,16,1995,-3.0,350
Stockholm,17,1995,-2.0,351
Stockholm,18,1995,-4.4,352
Stockholm,19,1995,-8.0,353
Stockholm,20,1995,-9.3,354
Stockholm,21,1995,-9.1,355
Stockholm,22,1995,-13.3,356
Stockholm,23,1995,-4.9,357
Stockholm,24,1995,-11.2,358
Stockholm,25,1995,-16.1,359
Stockholm,26,1995,-16.8,360
Stockholm,27,1995,-13.7,361
Stockholm,28,1995,-11.1,362
Stockholm,29,1995,-7.7,363
Stockholm,30,1995,-5.1,364
Stockholm,31,1995,-10.6,365
Stockholm,1,1996,-10.5,1
Stockholm,2,1996,-15.1,2
Stockholm,3,1996,-10.4,3
Stockholm,4,1996,-11.2,4
Stockholm,5,1996,-16.1,5
Stockholm,6,1996,-6.5,6
Stockholm,7,1996,0.3,7
Stockholm,8,1996,0.1,8
Stockholm,9,1996,0.7,9
Stockholm,10,1996,0.9,10
Stockholm,11,1996,0.4,11
Stockholm,12,1996,0.4,12
Stockholm,13,1996,1.6,13
Stockholm,14,1996,1.3,14
Stockholm,15,1996,0.6,15
Stockholm,16,1996,-1.3,16
Stockholm,17,1996,-1.1,17
Stockholm,18,1996,-0.5,18
Stockholm,19,1996,-1.4,19
Stockholm,20,1996,-2.3,20
Stockholm,21,1996,-4.2,21
Stockholm,22,1996,-2.9,22
Stockholm,23,1996,-3.6,23
Stockholm,24,1996,-4.8,24
Stockholm,25,1996,-4.2,25
Stockholm,26,1996,-7.1,26
Stockholm,27,1996,-7.7,27
Stockholm,28,1996,-3.4,28
Stockholm,29,1996,-3.7,29
Stockholm,30,1996,-3.8,30
Stockholm,31,1996,-6.0,31
Stockholm,1,1996,-6.1,32
Stockholm,2,1996,-2.9,33
Stockholm,3,1996,-4.1,34
Stockholm,4,1996,-6.8,35
Stockholm,5,1996,-13.8,36
Stockholm,6,1996,-15.3,37
Stockholm,7,1996,-14.2,38
Stockholm,8,1996,-15.1,39
Stockholm,9,1996,-12.8,40
Stockholm,10,1996,-6.5,41
Stockholm,11,1996,-6.1,42
Stockholm,12,1996,-6.8,43
Stockholm,13,1996,-7.6,44
Stockholm,14,1996,-10.1,45
Stockholm,15,1996,-1.3,46
Stockholm,16,1996,-0.1,47
Stockholm,17,1996,-8.2,48
Stockholm,18,1996,-12.6,49
Stockholm,19,1996,-8.6,50
Stockholm,20,1996,-8.8,51
Stockholm,21,1996,-9.3,52
Stockholm,22,1996,-8.5,53
Stockholm,23,1996,-12.8,54
Stockholm,24,1996,-5.8,55
Stockholm,25,1996,-3.8,56
Stockholm,26,1996,1.2,57
Stockholm,27,1996,1.2,58
Stockholm,28,1996,0.4,59
Stockholm,29,1996,1.0,60
Stockholm,1,1996,-0.3,61
Stockholm,2,1996,-1.3,62
Stockholm,3,1996,-3.6,63
Stockholm,4,1996,-0.7,64
Stockholm,5,1996,1.4,65
Stockholm,6,1996,-2.6,66
Stockholm,7,1996,-2.7,67
Stockholm,8,1996,0.3,68
Stockholm,9,1996,-1.1,69
Stockholm,10,1996,-1.0,70
Stockholm,11,1996,-1.2,71
Stockholm,12,1996,-2.3,72
Stockholm,13,1996,-1.4,73
Stockholm,14,1996,-1.1,74
Stockholm,15,1996,-1.6,75
Stockholm,16,1996,0.3,76
Stockholm,17,1996,-0.2,77
Stockholm,18,1996,-1.6,78
Stockholm,19,1996,-0.8,79
Stockholm,20,1996,0.1,80
Stockholm,21,1996,-3.6,81
Stockholm,22,1996,-4.0,82
Stockholm,23,1996,-1.1,83
Stockholm,24,1996,0.4,84
Stockholm,25,1996,0.0,85
Stockholm,26,1996,0.1,86
Stockholm,27,1996,0.2,87
Stockholm,28,1996,1.2,88
Stockholm,29,1996,0.5,89
Stockholm,30,1996,-0.1,90
Stockholm,31,1996,0.3,91
Stockholm,1,1996,0.9,92
Stockholm,2,1996,-0.3,93
Stockholm,3,1996,1.8,94
Stockholm,4,1996,4.1,95
Stockholm,5,1996,5.1,96
Stockholm,6,1996,6.8,97
Stockholm,7,1996,7.3,98
Stockholm,8,1996,7.8,99
Stockholm,9,1996,10.1,100
Stockholm,10,1996,2.3,101
Stockholm,11,1996,0.1,102
Stockholm,12,1996,1.7,103
Stockholm,13,1996,2.7,104
Stockholm,14,1996,5.2,105
Stockholm,15,1996,4.9,106
Stockholm,16,1996,7.7,107
Stockholm,17,1996,10.3,108
Stockholm,18,1996,11.0,109
Stockholm,19,1996,11.5,110
Stockholm,20,1996,11.9,111
Stockholm,21,1996,10.7,112
Stockholm,22,1996,14.5,113
Stockholm,23,1996,8.6,114
Stockholm,24,1996,7.1,115
Stockholm,25,1996,4.3,116
Stockholm,26,1996,4.2,117
Stockholm,27,1996,8.2,118
Stockholm,28,1996,9.3,119
Stockholm,29,1996,5.2,120
Stockholm,30,1996,6.2,121
Stockholm,1,1996,7.9,122
Stockholm,2,1996,8.5,123
Stockholm,3,1996,8.4,124
Stockholm,4,1996,8.4,125
Stockholm,5,1996,3.8,126
Stockholm,6,1996,4.4,127
Stockholm,7,1996,7.6,128
Stockholm,8,1996,7.4,129
Stockholm,9,1996,6.7,130
Stockholm,10,1996,6.3,131
Stockholm,11,1996,7.4,132
Stockholm,12,1996,13.8,133
Stockholm,13,1996,17.1,134
Stockholm,14,1996,15.3,135
Stockholm,15,1996,5.9,136
Stockholm,16,1996,5.2,137
Stockholm,17,1996,3.7,138
Stockholm,18,1996,6.2,139
Stockholm,19,1996,6.7,140
Stockholm,20,1996,7.0,141
Stockholm,21,1996,11.1,142
Stockholm,22,1996,11.8,143
Stockholm,23,1996,13.6,144
Stockholm,24,1996,12.4,145
Stockholm,25,1996,10.2,146
Stockholm,26,1996,10.2,147
Stockholm,27,1996,11.5,148
Stockholm,28,1996,9.4,149
Stockholm,29,1996,9.8,150
Stockholm,30,1996,12.7,151
Stockholm,31,1996,13.3,152
Stockholm,1,1996,13.9,153
Stockholm,2,1996,14.6,154
Stockholm,3,1996,15.1,155
Stockholm,4,1996,15.6,156
Stockholm,5,1996,17.0,157
Stockholm,6,1996,18.0,158
Stockholm,7,1996,16.0,159
Stockholm,8,1996,16.5,160
Stockholm,9,1996,16.8,161
Stockholm,10,1996,17.3,162
Stockholm,11,1996,21.1,163
Stockholm,12,1996,18.2,164
Stockholm,13,1996,14.4,165
Stockholm,14,1996,13.5,166
Stockholm,15,1996,14.1,167
Stockholm,16,1996,15.2,168
Stockholm,17,1996,14.9,169
Stockholm,18,1996,13.9,170
Stockholm,19,1996,11.7,171
Stockholm,20,1996,12.7,172
Stockholm,21,1996,12.7,173
Stockholm,22,1996,13.5,174
Stockholm,23,1996,15.4,175
Stockholm,24,1996,15.7,176
Stockholm,25,1996,17.0,177
Stockholm,26,1996,18.0,178
Stockholm,27,1996,15.6,179
Stockholm,28,1996,16.1,180
Stockholm,29,1996,16.3,181
Stockholm,30,1996,16.9,182
Stockholm,1,1996,13.7,183
Stockholm,2,1996,13.8,184
Stockholm,3,1996,12.6,185
Stockholm,4,1996,14.1,186
Stockholm,5,1996,15.8,187
Stockholm,6,1996,13.9,188
Stockholm,7,1996,15.9,189
Stockholm,8,1996,16.9,190
Stockholm,9,1996,12.5,191
Stockholm,10,1996,13.9,192
Stockholm,11,1996,19.1,193
Stockholm,12,1996,17.6,194
Stockholm,13,1996,17.4,195
Stockholm,14,1996,17.4,196
Stockholm,15,1996,17.7,197
Stockholm,16,1996,14.0,198
Stockholm,17,1996,14.1,199
Stockholm,18,1996,13.2,200
Stockholm,19,1996,15.2,201
Stockholm,20,1996,16.3,202
Stockholm,21,1996,14.6,203
Stockholm,22,1996,19.3,204
Stockholm,23,1996,21.8,205
Stockholm,24,1996,20.0,206
Stockholm,25,1996,18.6,207
Stockholm,26,1996,21.7,208
Stockholm,27,1996,18.7,209
Stockholm,28,1996,17.6,210
Stockholm,29,1996,17.8,211
Stockholm,30,1996,17.4,212
Stockholm,31,1996,16.7,213
Stockholm,1,1996,17.9,214
Stockholm,2,1996,16.9,215
Stockholm,3,1996,16.7,216
Stockholm,4,1996,18.9,217
Stockholm,5,1996,19.7,218
Stockholm,6,1996,19.2,219
Stockholm,7,1996,17.9,220
Stockholm,8,1996,18.3,221
Stockholm,9,1996,17.3,222
Stockholm,10,1996,19.6,223
Stockholm,11,1996,20.8,224
Stockholm,12,1996,20.7,225
Stockholm,13,1996,21.4,226
Stockholm,14,1996,21.5,227
Stockholm,15,1996,20.9,228
Stockholm,16,1996,20.1,229
Stockholm,17,1996,21.2,230
Stockholm,18,1996,19.3,231
Stockholm,19,1996,22.2,232
Stockholm,20,1996,22.6,233
Stockholm,21,1996,22.9,234
Stockholm,22,1996,22.6,235
Stockholm,23,1996,21.1,236
Stockholm,24,1996,20.2,237
Stockholm,25,1996,21.9,238
Stockholm,26,1996,20.1,239
Stockholm,27,1996,19.3,240
Stockholm,28,1996,19.4,241
Stockholm,29,1996,20.1,242
Stockholm,30,1996,19.5,243
Stockholm,31,1996,18.3,244
Stockholm,1,1996,17.8,245
Stockholm,2,1996,17.4,246
Stockholm,3,1996,16.1,247
Stockholm,4,1996,13.3,248
Stockholm,5,1996,11.4,249
Stockholm,6,1996,10.9,250
Stockholm,7,1996,11.4,251
Stockholm,8,1996,12.0,252
Stockholm,9,1996,10.3,253
Stockholm,10,1996,7.6,254
Stockholm,11,1996,7.9,255
Stockholm,12,1996,9.7,256
Stockholm,13,1996,11.6,257
Stockholm,14,1996,9.6,258
Stockholm,15,1996,10.7,259
Stockholm,16,1996,10.6,260
Stockholm,17,1996,10.7,261
Stockholm,18,1996,9.9,262
Stockholm,19,1996,11.6,263
Stockholm,20,1996,8.3,264
Stockholm,21,1996,7.9,265
Stockholm,22,1996,8.7,266
Stockholm,23,1996,8.4,267
Stockholm,24,1996,9.2,268
Stockholm,25,1996,7.7,269
Stockholm,26,1996,8.3,270
Stockholm,27,1996,9.0,271
Stockholm,28,1996,10.9,272
Stockholm,29,1996,10.5,273
Stockholm,30,1996,11.7,274
Stockholm,1,1996,11.3,275
Stockholm,2,1996,7.7,276
Stockholm,3,1996,9.1,277
Stockholm,4,1996,11.8,278
Stockholm,5,1996,9.8,279
Stockholm,6,1996,10.7,280
Stockholm,7,1996,12.8,281
Stockholm,8,1996,13.3,282
Stockholm,9,1996,11.7,283
Stockholm,10,1996,9.2,284
Stockholm,11,1996,5.9,285
Stockholm,12,1996,10.3,286
Stockholm,13,1996,7.8,287
Stockholm,14,1996,8.6,288
Stockholm,15,1996,9.3,289
Stockholm,16,1996,9.1,290
Stockholm,17,1996,10.7,291
Stockholm,18,1996,10.4,292
Stockholm,19,1996,7.3,293
Stockholm,20,1996,6.9,294
Stockholm,21,1996,5.5,295
Stockholm,22,1996,4.6,296
Stockholm,23,1996,6.1,297
Stockholm,24,1996,5.7,298
Stockholm,25,1996,5.6,299
Stockholm,26,1996,7.1,300
Stockholm,27,1996,8.2,301
Stockholm,28,1996,8.6,302
Stockholm,29,1996,10.1,303
Stockholm,30,1996,4.9,304
Stockholm,31,1996,-0.2,305
Stockholm,1,1996,7.1,306
Stockholm,2,1996,8.4,307
Stockholm,3,1996,11.3,308
Stockholm,4,1996,8.3,309
Stockholm,5,1996,10.3,310
Stockholm,6,1996,7.3,311
Stockholm,7,1996,4.3,312
Stockholm,8,1996,1.6,313
Stockholm,9,1996,3.6,314
Stockholm,10,1996,0.1,315
Stockholm,11,1996,-0.9,316
Stockholm,12,1996,3.3,317
Stockholm,13,1996,1.7,318
Stockholm,14,1996,-2.6,319
Stockholm,15,1996,4.1,320
Stockholm,16,1996,6.9,321
Stockholm,17,1996,5.8,322
Stockholm,18,1996,3.7,323
Stockholm,19,1996,6.5,324
Stockholm,20,1996,4.2,325
Stockholm,21,1996,5.7,326
Stockholm,22,1996,2.2,327
Stockholm,23,1996,2.6,328
Stockholm,24,1996,-0.3,329
Stockholm,25,1996,-2.1,330
Stockholm,26,1996,-1.0,331
Stockholm,27,1996,-1.0,332
Stockholm,28,1996,-0.4,333
Stockholm,29,1996,-0.1,334
Stockholm,30,1996,1.1,335
Stockholm,1,1996,0.8,336
Stockholm,2,1996,2.7,337
Stockholm,3,1996,3.8,338
Stockholm,4,1996,4.7,339
Stockholm,5,1996,5.0,340
Stockholm,6,1996,4.3,341
Stockholm,7,1996,-0.6,342
Stockholm,8,1996,1.6,343
Stockholm,9,1996,4.6,344
Stockholm,10,1996,4.8,345
Stockholm,11,1996,2.3,346
Stockholm,12,1996,0.5,347
Stockholm,13,1996,-4.8,348
Stockholm,14,1996,-12.7,349
Stockholm,15,1996,-10.6,350
Stockholm,16,1996,-5.2,351
Stockholm,17,1996,-6.3,352
Stockholm,18,1996,-6.6,353
Stockholm,19,1996,-9.6,354
Stockholm,20,1996,-10.4,355
Stockholm,21,1996,-6.2,356
Stockholm,22,1996,-6.9,357
Stockholm,23,1996,-10.4,358
Stockholm,24,1996,-4.6,359
Stockholm,25,1996,-11.3,360
Stockholm,26,1996,-8.3,361
Stockholm,27,1996,-0.7,362
Stockholm,28,1996,-1.3,363
Stockholm,29,1996,-1.7,364
Stockholm,30,1996,-4.9,365
Stockholm,31,1996,-6.9,366
Stockholm,1,1997,-7.9,1
Stockholm,2,1997,-10.4,2
Stockholm,3,1997,-9.7,3
Stockholm,4,1997,-8.2,4
Stockholm,5,1997,-4.1,5
Stockholm,6,1997,-7.9,6
Stockholm,7,1997,-5.2,7
Stockholm,8,1997,-5.3,8
Stockholm,9,1997,-3.4,9
Stockholm,10,1997,-9.2,10
Stockholm,11,1997,-7.8,11
Stockholm,12,1997,-5.7,12
Stockholm,13,1997,4.1,13
Stockholm,14,1997,3.8,14
Stockholm,15,1997,4.3,15
Stockholm,16,1997,2.4,16
Stockholm,17,1997,-0.8,17
Stockholm,18,1997,0.2,18
Stockholm,19,1997,1.6,19
Stockholm,20,1997,-3.1,20
Stockholm,21,1997,0.7,21
Stockholm,22,1997,0.5,22
Stockholm,23,1997,-0.2,23
Stockholm,24,1997,-3.3,24
Stockholm,25,1997,-7.1,25
Stockholm,26,1997,0.3,26
Stockholm,27,1997,0.4,27
Stockholm,28,1997,0.5,28
Stockholm,29,1997,3.3,29
Stockholm,30,1997,2.2,30
Stockholm,31,1997,0.4,31
Stockholm,1,1997,-1.8,32
Stockholm,2,1997,-2.7,33
Stockholm,3,1997,-1.8,34
Stockholm,4,1997,1.3,35
Stockholm,5,1997,-1.9,36
Stockholm,6,1997,-1.3,37
Stockholm,7,1997,4.6,38
Stockholm,8,1997,4.1,39
Stockholm,9,1997,1.2,40
Stockholm,10,1997,3.2,41
Stockholm,11,1997,3.3,42
Stockholm,12,1997,2.2,43
Stockholm,13,1997,-2.2,44
Stockholm,14,1997,-6.9,45
Stockholm,15,1997,-10.7,46
Stockholm,16,1997,-8.9,47
Stockholm,17,1997,-9.3,48
Stockholm,18,1997,-1.4,49
Stockholm,19,1997,0.3,50
Stockholm,20,1997,0.8,51
Stockholm,21,1997,2.4,52
Stockholm,22,1997,2.6,53
Stockholm,23,1997,6.0,54
Stockholm,24,1997,6.5,55
Stockholm,25,1997,4.7,56
Stockholm,26,1997,3.9,57
Stockholm,27,1997,3.0,58
Stockholm,28,1997,0.6,59
Stockholm,1,1997,6.1,60
Stockholm,2,1997,6.3,61
Stockholm,3,1997,6.1,62
Stockholm,4,1997,4.2,63
Stockholm,5,1997,3.7,64
Stockholm,6,1997,4.5,65
Stockholm,7,1997,3.0,66
Stockholm,8,1997,5.6,67
Stockholm,9,1997,3.6,68
Stockholm,10,1997,2.8,69
Stockholm,11,1997,5.2,70
Stockholm,12,1997,4.1,71
Stockholm,13,1997,5.3,72
Stockholm,14,1997,0.6,73
Stockholm,15,1997,-0.9,74
Stockholm,16,1997,-2.4,75
Stockholm,17,1997,-2.9,76
Stockholm,18,1997,-2.9,77
